,Unnamed: 0,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_reason,payment_plan_start_date,orig_projected_additional_accrued_interest,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
6898,6898,18000.0,18000.0,18000.0, 60 months,9.8,380.68,B,B3,Sales associate,2 years,MORTGAGE,42000.0,Not Verified,Dec-2015,n,debt_consolidation,TN,2.77,0.0,Apr-1970,710.0,714.0,0.0,,69.0,4.0,1.0,2630.0,17.0,10.0,w,Aug-2016,0.0,,1.0,Individual,,,,0.0,0.0,168968.0,0.0,0.0,0.0,0.0,124.0,0.0,,0.0,2.0,1220.0,17.0,15500.0,3.0,0.0,4.0,2.0,42242.0,6404.0,24.7,0.0,0.0,141.0,548.0,15.0,15.0,2.0,24.0,,4.0,,0.0,2.0,3.0,2.0,4.0,2.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,190275.0,2630.0,8500.0,0.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
6037,6037,16000.0,16000.0,16000.0, 36 months,6.99,493.97,A,A3,Attorney,10+ years,MORTGAGE,150000.0,Not Verified,Dec-2015,n,credit_card,CO,12.18,1.0,May-1984,695.0,699.0,4.0,34.0,,11.0,0.0,13766.0,72.0,41.0,w,Dec-2018,0.0,20.0,1.0,Individual,,,,0.0,0.0,309439.0,3.0,5.0,2.0,3.0,1.0,60146.0,80.0,2.0,2.0,5029.0,72.0,19100.0,0.0,0.0,3.0,6.0,28130.0,5033.0,91.0,0.0,0.0,137.0,379.0,10.0,1.0,5.0,51.0,48.0,0.0,34.0,1.0,3.0,5.0,2.0,7.0,14.0,5.0,22.0,3.0,11.0,,0.0,1.0,5.0,80.0,100.0,0.0,0.0,330623.0,73912.0,15100.0,75314.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
6362,6362,15000.0,15000.0,15000.0, 36 months,5.32,451.73,A,A1,,,RENT,65000.0,Not Verified,Dec-2015,n,credit_card,IL,22.32,1.0,Aug-1975,695.0,699.0,2.0,21.0,,18.0,0.0,16130.0,22.8,46.0,w,Oct-2017,0.0,39.0,1.0,Individual,,,,0.0,12643.0,19977.0,1.0,2.0,0.0,0.0,33.0,3847.0,11.0,2.0,8.0,4921.0,19.0,70700.0,0.0,3.0,3.0,8.0,1175.0,29474.0,28.1,0.0,0.0,149.0,484.0,2.0,2.0,3.0,17.0,39.0,2.0,21.0,5.0,4.0,8.0,7.0,15.0,9.0,16.0,34.0,8.0,18.0,0.0,0.0,0.0,2.0,87.0,0.0,0.0,0.0,105239.0,19977.0,41000.0,34539.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
7696,7696,10000.0,10000.0,10000.0, 36 months,8.38,315.12,B,B1,Operations and Sales Assistant,< 1 year,RENT,48000.0,Source Verified,Dec-2015,n,credit_card,CA,6.69,0.0,Mar-2010,695.0,699.0,1.0,,,10.0,0.0,8051.0,53.0,12.0,w,Feb-2019,0.0,,1.0,Individual,,,,0.0,0.0,32865.0,0.0,7.0,0.0,2.0,16.0,24814.0,102.0,0.0,0.0,4900.0,83.0,15200.0,1.0,0.0,2.0,2.0,3287.0,7149.0,53.0,0.0,0.0,52.0,69.0,31.0,16.0,0.0,31.0,,5.0,,0.0,3.0,3.0,3.0,4.0,7.0,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,39450.0,32865.0,15200.0,24250.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
4038,4038,7000.0,7000.0,7000.0, 36 months,11.48,230.77,B,B5,Teacher/Coach,1 year,RENT,66000.0,Verified,Dec-2015,n,debt_consolidation,TX,11.69,0.0,Jul-2003,660.0,664.0,1.0,29.0,,5.0,0.0,2371.0,98.0,12.0,w,Nov-2018,0.0,41.0,1.0,Individual,,,,0.0,0.0,33477.0,0.0,3.0,0.0,1.0,18.0,31106.0,77.0,0.0,0.0,1370.0,98.0,2425.0,0.0,0.0,2.0,1.0,6695.0,1213.0,98.0,0.0,0.0,149.0,121.0,89.0,18.0,0.0,113.0,,2.0,29.0,0.0,2.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,5.0,,0.0,0.0,0.0,67.0,100.0,0.0,0.0,42645.0,33477.0,2425.0,40220.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
8454,8454,8400.0,8400.0,8400.0, 36 months,10.64,273.58,B,B4,Therapy technician,10+ years,OWN,46000.0,Verified,Dec-2015,n,other,CA,21.03,0.0,Aug-1999,680.0,684.0,0.0,73.0,,6.0,0.0,14450.0,75.3,18.0,w,Mar-2018,0.0,73.0,1.0,Individual,,,,0.0,0.0,176092.0,1.0,1.0,0.0,0.0,33.0,12807.0,60.0,0.0,0.0,3827.0,67.0,19200.0,0.0,0.0,1.0,1.0,29349.0,773.0,90.3,0.0,0.0,137.0,196.0,103.0,3.0,6.0,170.0,,5.0,,1.0,3.0,4.0,3.0,5.0,4.0,4.0,8.0,4.0,6.0,0.0,0.0,0.0,1.0,94.4,100.0,0.0,0.0,190035.0,27257.0,8000.0,21399.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
3469,3469,8000.0,8000.0,8000.0, 36 months,12.88,269.09,C,C2,General Managers Assistant,7 years,MORTGAGE,42000.0,Verified,Dec-2015,n,debt_consolidation,TX,10.23,0.0,Aug-2006,670.0,674.0,0.0,,,9.0,0.0,4160.0,51.4,11.0,w,Jan-2019,0.0,,1.0,Individual,,,,0.0,0.0,11525.0,2.0,3.0,1.0,1.0,3.0,7365.0,66.0,3.0,5.0,2479.0,60.0,8100.0,2.0,0.0,3.0,6.0,1281.0,613.0,86.7,0.0,0.0,112.0,26.0,2.0,2.0,0.0,7.0,,2.0,,0.0,2.0,3.0,2.0,2.0,5.0,6.0,6.0,3.0,9.0,0.0,0.0,0.0,4.0,77.8,50.0,0.0,0.0,19190.0,11525.0,4600.0,11090.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
7441,7441,18000.0,18000.0,18000.0, 36 months,7.89,563.15,A,A5,Labor,1 year,RENT,119000.0,Source Verified,Dec-2015,n,other,NY,18.46,0.0,Apr-2009,785.0,789.0,0.0,,,9.0,0.0,6459.0,11.1,16.0,w,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,46313.0,0.0,3.0,0.0,2.0,14.0,39854.0,68.0,2.0,3.0,2350.0,40.0,58100.0,0.0,3.0,1.0,5.0,5146.0,31756.0,10.0,0.0,0.0,49.0,80.0,12.0,12.0,0.0,17.0,,12.0,,0.0,2.0,3.0,3.0,4.0,4.0,6.0,12.0,3.0,9.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,116700.0,46313.0,35300.0,58600.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
5322,5322,7000.0,7000.0,7000.0, 36 months,7.91,219.07,A,A5,Order Entry Clerk,< 1 year,RENT,26000.0,Verified,Dec-2015,n,debt_consolidation,NY,12.51,0.0,Sep-2004,705.0,709.0,0.0,,,5.0,0.0,7483.0,66.8,7.0,w,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,20372.0,0.0,1.0,0.0,0.0,114.0,12889.0,86.0,0.0,2.0,3414.0,78.0,11200.0,0.0,0.0,0.0,2.0,4074.0,2717.0,73.4,0.0,0.0,135.0,110.0,16.0,16.0,0.0,16.0,,,,0.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,26148.0,20372.0,10200.0,14948.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
5405,5405,4800.0,4800.0,4800.0, 36 months,9.17,153.02,B,B2,plumber,8 years,MORTGAGE,53000.0,Not Verified,Dec-2015,n,home_improvement,KS,26.29,1.0,Feb-1979,765.0,769.0,1.0,5.0,,13.0,0.0,7980.0,19.1,26.0,w,Feb-2019,0.0,,1.0,Individual,,,,0.0,0.0,232441.0,1.0,2.0,1.0,3.0,12.0,34987.0,74.0,0.0,0.0,1211.0,48.0,41700.0,1.0,1.0,5.0,4.0,23244.0,32737.0,5.7,0.0,0.0,143.0,442.0,35.0,3.0,3.0,41.0,,4.0,,0.0,2.0,3.0,7.0,8.0,11.0,9.0,12.0,3.0,13.0,0.0,0.0,0.0,2.0,96.0,0.0,0.0,0.0,289392.0,42967.0,34700.0,47292.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
